Designator,Footprint,Quantity,Value,LCSC Part #
C1,C_Rect_L7.2mm_W2.5mm_P5.00mm_FKS2_FKP2_MKS2_MKP2,1,0.022uF,
C10,C_Rect_L7.2mm_W2.5mm_P5.00mm_FKS2_FKP2_MKS2_MKP2,1,0.1uF,
C11,CP_Radial_D5.0mm_P2.00mm,1,10uF,
C12,CP_Radial_D6.3mm_P2.50mm,1,100uF,
"C2, C8",C_Rect_L7.2mm_W5.5mm_P5.00mm_FKS2_FKP2_MKS2_MKP2,2,1uF,
C3,C_Rect_L7.2mm_W2.5mm_P5.00mm_FKS2_FKP2_MKS2_MKP2,1,0.047uF,
C4,C_Disc_D5.1mm_W3.2mm_P5.00mm,1,51pF,
"C5, C9",C_Rect_L7.2mm_W2.5mm_P5.00mm_FKS2_FKP2_MKS2_MKP2,2,0.22uF,
C7,CP_Radial_D5.0mm_P2.00mm,1,47uF,
"D1, D2, D5",D_DO-35_SOD27_P7.62mm_Horizontal,3,1N914,
"D6, D7",LED_D3.0mm,2,LED_Red,
"H1, H2",MountingHole_4mm,2,MountingHole,
"Q1, Q2",TO-92_Inline,2,2SC1815,
"R1, R17, R18, R23, R8",R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,5,1k,
"R10, R13, R14, R16, R3, R5, R9",R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,7,10k,
R11,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,1,220R,
"R12, R2",R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,2,511k,
R15,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,1,100R,
R22,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,1,1.5M,
R6,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,1,4.7k,
R7,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,1,51k,
TP1,TestPoint_THTPad_D2.0mm_Drill1.0mm,1,In,
TP10,TestPoint_THTPad_D2.0mm_Drill1.0mm,1,1D,
TP11,TestPoint_THTPad_D2.0mm_Drill1.0mm,1,3D,
TP12,TestPoint_THTPad_D2.0mm_Drill1.0mm,1,Flip_SW_1,
TP13,TestPoint_THTPad_D2.0mm_Drill1.0mm,1,1T,
TP14,TestPoint_THTPad_D2.0mm_Drill1.0mm,1,2T,
TP15,TestPoint_THTPad_D2.0mm_Drill1.0mm,1,3T,
TP16,TestPoint_THTPad_D2.0mm_Drill1.0mm,1,3V,
TP17,TestPoint_THTPad_D2.0mm_Drill1.0mm,1,2V,
TP18,TestPoint_THTPad_D2.0mm_Drill1.0mm,1,1V,
TP19,TestPoint_THTPad_D2.0mm_Drill1.0mm,1,Out,
TP2,TestPoint_THTPad_D2.0mm_Drill1.0mm,1,9V,
TP20,TestPoint_THTPad_D2.0mm_Drill1.0mm,1,Flip_SW_2,
TP23,TestPoint_THTPad_D2.0mm_Drill1.0mm,1,GND_2,
TP3,TestPoint_THTPad_D2.0mm_Drill1.0mm,1,GND_3,
TP4,TestPoint_THTPad_D2.0mm_Drill1.0mm,1,GND_1,
TP5,TestPoint_THTPad_D2.0mm_Drill1.0mm,1,LED_ind+,
TP7,TestPoint_THTPad_D2.0mm_Drill1.0mm,1,Flip_SW_3,
TP8,TestPoint_THTPad_D2.0mm_Drill1.0mm,1,D2ab_1,
TP9,TestPoint_THTPad_D2.0mm_Drill1.0mm,1,D2ab_2,
U1,RC4558P_PDIP_8,1,RC4558,
